#CGI
#yaml:
#    date: 2023-12-06 13:45:46
#    transit_version: v1.0.7
#    app_or_command_line: app
#    console_command: transit 
#    stats: {}
#    parameters:
#       frac_abund_file: /Users/jeffhykin/repos/transit2/cgi_output.abundances.tsv
#    
#Significant Interactions	Orf	Gene	Nobs	intercept	coefficient sgRNA_strength	coefficient concentration dependence	pval intercept	pval pred_logFC	pval concentration dependence	qval concentration dependence	Z
0	RVBD1312	RVBD1312	7	-0.39723436308680804	0.09791769238865083	-0.19534813248852084	0.0010935515928102333	4.230877477665979e-16	1.1613321566699321e-11	7.3441476951674e-11	-1.2698875936703171
0	RVBD0193c	RVBD0193c	27	1.1042008019489533	0.4131851559419248	0.016532668342953534	2.973214031940635e-59	9.213668050868128e-09	0.258646671570037	0.34641255845976987	0.10257107572510019
0	RVBD0583c	lpqN	5	1.114034152028395	0.9487310170104302	0.03748700173786079	1.0694899250313156e-11	0.0045735809485559385	0.29656133756070935	0.38903121319933887	0.238302847628854
0	RVBD1668c	RVBD1668c	5	1.6991129906821414	1.8642775178535917	0.09222553657648505	1.643852996891191e-07	0.01844771101661908	0.1534006842733557	0.22451875987897987	0.5928719090749968
0	RVBD1571	RVBD1571	4	1.0642191545786894	0.24787222557206656	0.03707485309797657	3.783849104127633e-14	0.008478122353408812	0.1410381703720533	0.2098614580970767	0.23563315329284598
0	RVBD1720c	vapC12	5	1.4312897992553753	0.1787306761568789	0.1283723017693013	1.4682841537410102e-16	0.027411607238101453	0.00031802002233328916	0.0009631600375184405	0.827012714021925
0	RVBD1952	vapB14	7	1.101077051941325	0.43934375341299436	0.020354950369012196	3.367571697371279e-23	5.890262414035036e-07	0.3269069703407065	0.4219664361474874	0.12732992165617155
0	RVBD2720	lexA	78	0.7543165759370567	0.21444729273237056	-0.04586645287990334	4.0562774222626354e-67	8.403130204959179e-234	2.4380481403312054e-05	8.850026733223924e-05	-0.3016194622985972
0	RVBD2842c	RVBD2842c	6	-1.3173871203717604	0.0011088115869835533	-0.21126941870897897	2.324089839895307e-11	0.9343873755652528	4.3093281578383476e-20	4.444132782263034e-19	-1.373017783925609
0	RVBD0999	RVBD0999	8	0.5249043825280748	0.3581927371801709	-0.14073191884822772	2.9791065147766637e-08	2.8747753297521473e-19	1.2470961054845778e-09	6.861587600901466e-09	-0.9161108682378275
0	RVBD1052	RVBD1052	7	1.4131246981823555	0.10036939779787701	0.10975018921733873	8.916049312633385e-39	0.031259848267851956	1.2271180520849763e-10	7.152853341283732e-10	0.7063879112361047
0	RVBD1040c	PE8	6	1.198674370360719	0.22065215159973284	0.05709680859602448	1.3488737773155444e-27	3.0465322525738255e-06	0.0014152295896363897	0.003732494039027908	0.36532544392847355
0	RVBD2523c	acpS	18	0.49367987499106936	0.10947305479838977	-0.11353905134641512	8.349571935042168e-11	1.9862764197255917e-70	3.735309959286068e-09	1.9845992940883177e-08	-0.739968968631416
0	RVBD1582c	RVBD1582c	8	1.446241152786389	0.26962480399855693	0.0924966135072216	2.6783420360673384e-26	5.645498176627263e-20	0.0006479056280334179	0.0018248434425423017	0.5946278108943334
0	RVBD1985c	RVBD1985c	6	1.316566892550646	-0.4523721014211164	0.06635741388769506	7.034809440975317e-25	0.3462892359395676	0.003876042671575445	0.009068902632388855	0.42531104888430665
0	RVBD3345c	PE-PGRS50	12	0.903482884178461	0.2374174480008292	-0.01213923239876675	2.016379573045294e-26	4.837336800812841e-35	0.48660918223319527	0.5859706978867999	-0.0831512671516283
0	RVBD2760c	vapB42	5	0.9986529046885994	-0.08835171923375704	0.04618426646987603	9.88089024352389e-09	0.6771537707064954	0.2395688207763415	0.32563223966287447	0.29463941203034255
0	RVBD3438	RVBD3438	6	1.6245739041766305	0.4588727665370983	-0.05270235702078202	2.4219274435314477e-12	1.0555179824229074e-13	0.002670617505791433	0.006529619214767869	-0.34589905660109005
